"8 Stops 7","Question Everything",SC3208,5,SC3208,SC,1," 2/27/13"
"Another One Bites The Dust",Queen,BS8017,7,BS8017,BS,1," 2/27/13"
"Backstreet Boys","Quit Playing Games (With My Heart)",SC8390,8,SC8390,SC,1," 2/27/13"
"Backstreet Boys, The","Quit Playing Games (With My Heart)",CBEP457-1,14,CBEP457-1,CB,1," 2/27/13"
"Backstreet Boys, The","Quit Playing Games With My Heart",SC2217,8,SC2217,SC,1," 2/27/13"
"Bohemian Rhapsody",Queen,BS8017,2,BS8017,BS,1," 2/27/13"
"Bon Jovi","Queen Of New Orleans",SF114,13,SF114,SF,1," 2/27/13"
"Bonds, Gary","Quarter To Three",CB5014-02,13,CB5014-02,CB,1," 2/27/13"
"Bonds, Gary ''U.S.''","Quarter To Three, A",DK080,9,DK080,DK,1," 2/27/13"
"Bonds, Gary ''u.s.''","Quarter To Three, A",SC7550,10,SC7550,SC,1," 2/27/13"
"Bonds, Gary U.S.","Quarter To Three",SF084,1,SF084,SF,1," 2/27/13"
"Bonds, Gary U.s.","Quarter To Three",CBEP455-5,10,CBEP455-5,CB,1," 2/27/13"
"Bonds, Gary U.S.","Quarter To Three, A",PI001,7,PI001,PI,1," 2/27/13"
"C'Mon 'N Ride Da Train","Quad City DJ's",AH8006,5,AH8006,AH,1," 2/27/13"
"Carpenter, Mary Chapin","Quittin' Time",CB90029,12,CB90029,CB,1," 2/27/13"
Chicago,"Question 67 And 68",AH8004,9,AH8004,AH,1," 2/27/13"
"Cole, Nat ''King''","Quizas Quizas Quizas",SAVP19,7,SAVP19,SA,1," 2/27/13"
"Confederate Railroad","Queen Of Memphis",SC8165,6,SC8165,SC,1," 2/27/13"
"Confederate Railroad, The","Queen Of Memphis",MM6022,7,MM6022,MM,1," 2/27/13"
"Crazy Little Thing Called Love",Queen,BS8017,9,BS8017,BS,1," 2/27/13"
"Cruz, Celia",Quimbara,MM6138,12,MM6138,MM,1," 2/27/13"
"Darin, Bobby","Queen Of Hop",SC8521,1,SC8521,SC,1," 2/27/13"
"Day, Doris","Que Sera Sera",CBEP469-5,13,CBEP469-5,CB,1," 2/27/13"
"Day, Doris","Que Sera, Sera",SAVP02,11,SAVP02,SA,1," 2/27/13"
"Diffie, Joe","Quittin' Kind, The",CHM0002,19,CHM0002,CH,1," 2/27/13"
"Don't Stop Me Now",Queen,BS8017,11,BS8017,BS,1," 2/27/13"
Ednita,"Quen Te Robo Corazon",SC2197,1,SC2197,SC,1," 2/27/13"
"Friends Will Be Friends",Queen,BS8017,10,BS8017,BS,1," 2/27/13"
Garbage,Queer,SC8263,4,SC8263,SC,1," 2/27/13"
"Givson Brothers","Qui Sara Mi Vida",SF028,3,SF028,SF,1," 2/27/13"
"Go With The Flow","Queens Of The Stone Age",PHR0306,7,PHR0306,PH,1," 2/27/13"
"Hammer To Fall",Queen,BS8017,17,BS8017,BS,1," 2/27/13"
"Houston, Whitney","Queen Of The Night",MM6038,12,MM6038,MM,1," 2/27/13"
"Humperdinck, Engelbert","Quando Quando Quando",CBE4-01,6,CBE4-01,CB,1," 2/27/13"
"Humperdinck, Engelbert","Quando, Quando, Quando",MMSTA03,15,MMSTA03,MM,1," 2/27/13"
"Humperdinck, Engerbert","Quando Quando Quando",MMSTA2-2,3,MMSTA2-2,MM,1," 2/27/13"
"I Want It All",Queen,BS8017,5,BS8017,BS,1," 2/27/13"
Innuendo,Queen,BS8017,14,BS8017,BS,1," 2/27/13"
"It's A Hard Life",Queen,BS8017,12,BS8017,BS,1," 2/27/13"
"It's A Kind Of Magic",Queen,BS8017,4,BS8017,BS,1," 2/27/13"
"Kershaw, Sammy","Queen Of My Double Wide Trailer",CBEP453-6,7,CBEP453-6,CB,1," 2/27/13"
"Lamond, George","Que Te Vas",SC2211,4,SC2211,SC,1," 2/27/13"
"Lighthouse Family, The","Question Of Faith",SF126,4,SF126,SF,1," 2/27/13"
Loverboy,"Queen Of The Broken Hearts",SC8624,14,SC8624,SC,1," 2/27/13"
"Miller, Jody","Queen Of The House",SC7567,6,SC7567,SC,1," 2/27/13"
"Moody Blues, The",Question,SC8790,11,SC8790,SC,1," 2/27/13"
"Newton, Juice","Queen Of Hearts",CBEP467-1,12,CBEP467-1,CB,1," 2/27/13"
"No One Knows","Queens Of The Stone Age",THR0301,14,THR0301,TH,1," 2/27/13"
"One Vision",Queen,BS8017,13,BS8017,BS,1," 2/27/13"
Queensryche,"Queen Of The Reich",SC8756,6,SC8756,SC,1," 2/27/13"
"Radio Ga-Ga",Queen,BS8017,8,BS8017,BS,1," 2/27/13"
"Save Me",Queen,BS8017,16,BS8017,BS,1," 2/27/13"
"Show Must Go On, The",Queen,BS8017,3,BS8017,BS,1," 2/27/13"
"Silent Lucidity",Queensryche,PI045,5,PI045,PI,1," 2/27/13"
"Stewart, Gary",Quits,SC8610,4,SC8610,SC,1," 2/27/13"
"We Are The Champions",Queen,BS8017,6,BS8017,BS,1," 2/27/13"
"We Will Rock You",Queen,PI009,13,PI009,PI,1," 2/27/13"
"Who Wants To Live Forever",Queen,BS8017,15,BS8017,BS,1," 2/27/13"
"Williams, Hank Jr.","Queen Of My Heart",SC8403,6,SC8403,SC,1," 2/27/13"
